ETUNIMI;YHTEENSÄ
Juhani;282513
Olavi;140466
Antero;140193
Johannes;133309
Tapani;133280
Tapio;107363
Kalevi;95184
Mikael;92108
Petteri;70721
Ilmari;69375
Sakari;61837
Matias;53762
Kristian;48656
Pekka;46851
Kalervo;39276
Matti;37885
Henrik;31226
Oskari;30683
Ensio;30578
Markus;27519
Aleksi;24186
Heikki;23021
Valtteri;22810
Erik;20906
Jaakko;19873
Veikko;18898
Samuli;18266
Antti;17809
Eemeli;17669
Armas;16227
Elias;14442
Samuel;13900
Uolevi;13691
Viljami;13157
Petri;12832
Tuomas;12776
Erkki;12268
Johan;12004
Jalmari;11977
Lauri;11862
Onni;11685
Aleksanteri;11437
Veli;11179
Ilari;11129
Emil;11124
Kullervo;10575
Sebastian;10540
Santeri;10442
Einari;10395
Alexander;10109
Aulis;10029
Allan;9854
Juho;9345
Eino;9285
Juha;9201
Aukusti;9034
Toivo;8865
Eemil;8693
Martti;8649
Oliver;8588
Christian;8134
Artturi;7737
Juhana;7650
Vilhelm;7405
Ville;7382
Hermanni;7286
Valdemar;7167
Väinö;7090
Pentti;6918
Akseli;6916
Anton;6890
Daniel;6832
Mikko;6750
Eero;6657
Eerik;6637
Benjamin;6502
Kalle;6460
Paavo;6428
Elmeri;6322
Henrikki;6159
Otto;6110
Jukka;6099
Kaarlo;6090
Markku;5851
Edvard;5661
Aatos;5539
Joonatan;5525
Julius;5503
Iisakki;5360
Vilho;5355
Kustaa;5354
Seppo;5192
Vihtori;5060
Joonas;4991
Anders;4899
Rainer;4890
Topias;4787
Peter;4747
Taneli;4718
Aarne;4713
Wilhelm;4712
August;4698
Rafael;4695
Kari;4646
Marko;4420
Herman;4375
Jussi;4349
Esko;4302
Verneri;4264
Timo;4222
Robert;4171
Nikolai;4169
Leo;4165
Yrjö;4149
Albert;4131
Hannu;4085
Karl;3986
Gustav;3956
Gunnar;3945
Fredrik;3864
Rikhard;3784
Andreas;3731
Oskar;3720
Pellervo;3656
Iivari;3593
Aarre;3474
Arvo;3423
Kasperi;3391
Pauli;3381
Eelis;3355
Pertti;3353
Michael;3224
Aaron;3214
Viljo;3212
Olof;3194
Pietari;3188
Patrik;3139
Risto;3133
Olli;3104
Ilkka;3081
Päiviö;3031
Paavali;2918
Niilo;2917
Mika;2867
Jouko;2850
Vesa;2843
Esa;2842
Joakim;2825
Henri;2805
Jorma;2759
Ari;2747
Reino;2712
William;2682
Jeremias;2680
Untamo;2672
Arvid;2621
Göran;2601
Anselmi;2572
Aleksander;2551
Arto;2547
Severi;2523
Jari;2507
Kauko;2499
Alvar;2466
Eetu;2462
Gabriel;2461
Alfred;2459
Jan;2393
Joel;2372
Jouni;2367
Eerikki;2364
Henry;2350
Viktor;2284
Janne;2277
Nestori;2257
Tauno;2233
Martin;2224
Kaleva;2180
Raimo;2173
Lennart;2161
Oiva;2161
Viljam;2158
Taisto;2145
Tuomo;2141
Urho;2136
Eljas;2117
Sulo;2082
Veikka;2079
Kasper;2067
Harri;2046
Alarik;2034
Carl;2015
Aaro;2009
Axel;2008
Arvi;2004
Niklas;1988
Richard;1971
Arttu;1942
Ossian;1932
Krister;1908
Frans;1896
Edvin;1882
Evert;1857
Mauri;1855
Mattias;1832
Simo;1827
Rasmus;1801
Einar;1796
Hannes;1788
Jarmo;1773
Ahti;1756
Petter;1735
Lars;1733
Taavetti;1726
Aapeli;1718
Reijo;1713
Eevert;1705
Christer;1656
Asser;1630
Lasse;1627
Niko;1623
Oscar;1621
Waltteri;1616
Gustaf;1557
Leonard;1548
Anttoni;1543
Aimo;1534
John;1527
Magnus;1514
Osmo;1513
Alex;1499
Eliel;1486
Stefan;1476
Sulevi;1470
Bernhard;1452
Verner;1447
Voitto;1420
Mauno;1417
Teemu;1410
Mathias;1402
Paul;1390
Sami;1381
Keijo;1376
Joona;1373
Valentin;1370
Aleksis;1355
Leevi;1350
Alpo;1349
Valter;1313
Kimmo;1310
Salomon;1305
Håkan;1301
Miika;1288
Unto;1288
Vili;1280
Hugo;1277
Jani;1276
Ossi;1255
Eric;1248
Jesse;1239
Birger;1222
Antton;1208
Aslak;1204
Pasi;1201
Kai;1199
Kyösti;1197
Ukko;1194
Åke;1187
Jarkko;1180
Väinämö;1176
Jyrki;1175
Albin;1170
Waldemar;1166
Thomas;1147
Harald;1147
Jonathan;1131
Anssi;1127
Teuvo;1119
Adolf;1112
Ingmar;1109
Nils;1108
Veijo;1102
Vilhelmi;1091
Patrick;1087
Edward;1081
Harry;1053
Mohamed;1049
Tero;1042
Veeti;1027
Hans;1026
Juuso;1017
Rudolf;1001
Ismo;974
Elis;973
Aapo;968
Asko;957
Uljas;955
Eeli;950
Emanuel;950
Aatu;948
Alvari;943
Atte;940
Aarno;932
Marcus;922
Christoffer;917
Kaarle;916
Jooseppi;907
Kenneth;901
Ali;900
Georg;894
Heimo;892
Sven;886
Arthur;879
Hjalmar;868
Jonatan;866
Miikka;866
Roger;865
Rauno;853
Kristoffer;849
Iisak;846
Viking;838
Otso;834
Tobias;831
Kasimir;828
David;826
Jere;825
Helmer;822
Ilpo;816
Ragnar;811
Tarmo;810
Eevertti;804
Pyry;799
Toni;796
Lassi;796
Holger;788
Topi;787
Aki;785
Yrjänä;775
Joni;774
Kaj;769
Valfrid;761
Asseri;751
Helge;745
Bertel;745
Jesper;739
Osvald;738
Leander;730
Torsten;729
Miikkael;728
Sakarias;718
Sauli;709
Nikolas;708
Leif;708
Felix;702
Arne;701
James;701
Jalo;684
Jasper;683
Cristian;682
Anselm;681
Ahmed;680
Aarni;675
Luukas;674
Samu;671
Benjam;669
Tommi;668
Teodor;664
Konstantin;663
Sisu;663
Victor;657
Miro;651
Christopher;646
Antonio;646
Simeon;645
Mats;643
Antinpoika;643
Riku;642
Max;639
Olav;639
Börje;638
Aku;634
Ferdinand;632
Roope;631
Walter;631
Ylermi;630
Tomas;629
Taavi;628
Veli-Matti;627
Wiljami;619
Alfons;610
Per;608
Arimo;608
Mauritz;608
Miikael;608
Isak;606
André;601
Erland;601
Ole;598
Jarno;597
Valtter;597
Immanuel;597
Adam;592
Kim;590
Tuukka;588
Tomi;584
Konsta;584
Iiro;582
Ivar;578
Nuutti;577
Artur;577
Klaus;570
Benjami;567
Jonas;565
Evald;564
Perttu;553
Teppo;544
Runar;540
Juhanpoika;534
Jarl;534
Herbert;528
Matinpoika;526
Jakob;518
Lucas;510
Aatto;509
Nestor;508
Jimi;504
Bengt;504
Reinhold;503
Eugen;501
Elmer;500
Stig;499
Aksel;498
Maximilian;497
Anthony;496
Sylvester;489
Kosti;487
Aatami;487
Adrian;487
Ove;483
Rolf;483
Tatu;482
Micael;482
Nicolas;479
Kurt;478
Sameli;478
Manuel;475
Urpo;473
Esaias;469
Veli-Pekka;468
Terho;463
Otava;459
Saku;458
Arnold;457
Salomo;456
Nicholas;455
Bertil;455
Raineri;450
Petrus;449
Iikka;448
Justus;448
Björn;446
Ingemar;446
Mikonpoika;444
Simon;443
Aadolf;440
Jeremia;438
Uuno;436
Fabian;436
Noel;432
Werner;432
Bo;431
Dan;430
Villiam;428
Gösta;427
Roland;427
Hilding;426
Miko;425
Jesperi;419
Marius;419
Lenni;418
Torvald;417
Elia;416
Ilmo;413
Hemminki;412
Hemming;412
Heino;411
Dimitri;410
Sampo;410
Vincent;408
Tenho;406
Jyri;406
Helmeri;402
Mainio;399
Jan-Erik;399
Casimir;398
Tom;397
Tuure;397
Lukas;391
Timonpoika;390
Ben;389
Nooa;389
Robin;389
Bror;385
Elliot;384
Jörgen;383
Auvo;382
Casper;378
Hassan;378
Taito;378
Alf;377
Sigurd;376
Filip;373
Valo;373
Zacharias;366
Manu;364
Augusti;364
Elmo;363
Jukanpoika;362
Ernst;362
Luka;361
Yngve;356
Joachim;355
Ludvig;355
Reima;354
Usko;352
Jalmar;351
Abdi;349
Heikinpoika;347
Pekanpoika;344
Jonne;344
Torbjörn;341
Wiljam;340
Jarinpoika;339
Theodor;339
Kaapo;338
Valto;333
Bjarne;332
Abraham;328
Torolf;327
Julian;323
Ruben;320
Altti;319
Eemi;318
Charles;318
Urmas;318
Miska;315
Tor;314
Ernesti;314
Rune;314
Sigfrid;314
Valio;309
Nikodemus;308
Aleksei;308
Santtu;307
Ingvald;305
Touko;303
Bruno;301
Paulus;301
Romeo;300
Ralf;297
Maurits;293
Nico;290
Hannunpoika;287
Karinpoika;285
Jami;284
Luca;283
Boris;282
Into;280
Kaspian;274
Ingvar;273
Ulf;272
Akusti;272
Philip;271
Leopold;270
Aron;269
Leon;267
Joseph;266
Vertti;264
Kusti;262
Andrew;261
Josef;260
Konrad;260
Teijo;258
Torsti;258
Ibrahim;252
Maximus;249
George;247
Jooa;247
Tommy;247
Niclas;246
Kristofer;242
Jussinpoika;241
Isto;241
Tony;240
Matts;239
Joosua;238
Karl-Johan;238
Sigvard;238
Gerhard;237
Omar;237
Roni;236
Werneri;236
Junior;235
Markunpoika;235
Adiel;232
Andrei;232
Karri;231
Elof;229
Jean;229
Folke;226
Abdullahi;226
Lari;226
Jaakoppi;226
Karl-Erik;226
Rami;225
Mikanpoika;224
Raine;224
Jacob;222
Erno;218
Hemmo;217
Amadeus;217
Arttur;216
Sammeli;211
Aamos;210
Tino;210
Villehard;209
Eskil;209
Fjalar;208
Raafael;207
Arinpoika;207
Mohammed;205
Raymond;204
Rurik;203
Jannenpoika;203
Matteus;203
Jens;201
Sixten;201
Feliks;199
Gottfrid;199
Elo;198
Lee;198
Linus;198
Orvo;197
Alexis;197
Uno;196
Kjell;195
Ernest;194
Valde;194
Maunu;193
Hussein;192
Mårten;189
Ola;188
Edwin;188
Selim;187
Visa;186
Kauno;185
Aappo;185
Okko;184
Amos;184
Frank;183
Johnny;182
Rickard;181
Marco;181
Jaakonpoika;180
Rickhard;180
Tiitus;178
Milo;178
Tage;176
Petrinpoika;175
Harrinpoika;174
Roy;174
Mohamud;174
Mico;172
Dennis;172
Edgar;172
Atso;171
Singh;171
Oula;171
Juha-Pekka;169
Toimi;169
Henning;168
Pekko;166
Kaino;165
Aaretti;165
Knut;164
Emmanuel;162
Panu;160
Rauli;160
Aate;160
René;159
Sture;158
Mio;158
Sten;157
Malakias;156
Ronald;156
Algot;156
Antto;154
Filemon;154
Elvis;154
Markonpoika;153
Sampsa;153
Ollinpoika;153
Arno;153
Ariel;152
Aarto;152
Svante;151
Mario;151
Noah;151
Erkka;151
Jaakkima;150
Gideon;150
Guy;150
Leonardo;149
Severin;149
Karl-Gustav;149
Alpertti;148
Michel;148
Aleks;146
Peetu;146
Matthias;146
Vidar;145
Emilio;145
Aaprami;144
Jasperi;144
Ivan;144
Sune;143
Abdirahman;143
Johann;143
Jerry;142
Kevin;141
Sanfrid;139
Iivo;139
Alexi;138
Ilja;138
Alan;137
Erkinpoika;137
Abel;137
Matthew;137
Ragnvald;137
Timoteus;136
Teo;136
Patric;136
Jousia;136
Villenpoika;136
Jon;135
Fridolf;135
Noa;135
Joose;134
Alberto;133
Jori;133
Juha-Matti;133
Soini;133
Abdulkadir;133
Brynolf;133
Levi;133
Efraim;133
Jiri;132
Louis;132
Pontus;132
Engelbert;132
Vesanpoika;131
Jouninpoika;130
Mark;130
Berndt;130
Ilo;129
Hermann;128
Joshua;128
Jose;128
Olli-Pekka;128
Lars-Erik;127
Ristonpoika;127
Carl-Johan;127
Ahmad;127
Osku;126
Kent;126
Kennet;126
Osman;126
Klas;126
Mertsi;125
Yusuf;125
Roberto;124
Andre;124
Kimi;124
Nicklas;124
Per-Erik;124
Hemmi;124
Sören;123
Amin;123
Ilkanpoika;122
Carlos;122
Vilpas;122
Saminpoika;121
Waltter;120
Francis;120
Ismail;120
Karim;120
Eenokki;120
Simeoni;120
Liam;119
Ture;119
Said;117
Pasinpoika;117
Greger;117
Venni;117
Akilles;117
Israel;117
Emerik;116
Valentino;116
Sergei;116
Mahamed;116
Kaius;115
Nikanor;115
Vilppu;115
Eeronpoika;115
Dominic;114
Esanpoika;112
Miguel;112
Timi;111
Thorvald;111
Juhan;110
Laurinpoika;110
Luis;110
Erling;110
Staffan;109
Antoni;109
Jukka-Pekka;109
Jaakob;109
Olle;108
Mohammad;108
Martinpoika;107
Jimmy;107
Rikard;107
Volmar;106
Ananias;105
Ernfrid;105
Ohto;105
Arsi;105
Mihail;105
Thor;105
Alejandro;104
Niila;104
Myrsky;104
Sven-Erik;104
Alexandre;104
Seponpoika;104
Wilhelmi;103
Eppu;103
Ricardo;102
Aake;101
Anshelm;101
Wille;100
Oswald;100
Kuisma;99
Raino;98
Poika;98
Aleksandr;98
Isidor;97
Andres;97
Tuomaanpoika;97
Natanael;97
Herkko;96
Uula;96
Mikaeli;95
Jarmonpoika;95
Janinpoika;95
Daavid;95
Juhaninpoika;95
Tim;95
Ari-Pekka;94
Raikas;94
Wäinö;94
Angelo;94
Teronpoika;94
Walfrid;93
Egil;93
Tore;93
Ludwig;93
Vladimir;93
Robertino;92
Bernt;91
Hendrik;91
Erkko;91
Mies;90
Tapionpoika;90
Veini;90
Enok;90
Niki;90
Sigvald;90
Petja;90
Ernesto;89
Huugo;89
Salama;89
Alvi;89
Joeli;89
Eeti;88
Abram;88
Artonpoika;88
Asmo;88
Pentinpoika;88
Vieno;87
Nikolaus;87
Asarias;87
Edvart;87
Christofer;87
Jan-Anders;87
Jeremy;87
Jason;87
Roobert;86
Eirik;86
Abiel;86
Neo;86
Jonny;85
Jim;85
Olov;85
Fernando;85
Jare;85
Jan-Olof;84
Fritiof;84
Severus;84
Alessandro;83
Kimmonpoika;83
Minh;83
Kunto;83
Willehard;83
Franz;82
Ian;82
Matteo;82
Josua;82
Albinus;82
Damien;81
Juhonpoika;81
Pirkka;81
Tahvo;81
Igor;80
Kristo;80
Jack;80
Carl-Gustav;79
Turo;79
Volter;79
Nathaniel;79
Abbas;79
Steven;79
Theo;79
Feodor;79
Mooses;79
Willem;79
Heinrich;79
Petrik;78
Joosef;78
Alvin;77
Edmund;77
Tomminpoika;77
Simonpoika;77
Wolfgang;77
Amir;77
Jama;77
Harras;76
Tuomonpoika;76
Friedrich;76
Kunnari;76
Tristan;75
Nicolai;75
Östen;75
Gilbert;75
Volmari;75
Stefanus;75
Aabraham;75
Reidar;74
Ismael;74
Aati;74
Vilpertti;74
Erich;74
Andrea;73
Reko;73
Aden;73
Saul;73
Timothy;73
Hiskias;73
Jarkonpoika;73
Pertinpoika;73
Mirko;73
Crister;73
Isac;72
Immo;72
Pietu;72
Valpas;72
Abdullah;72
Finn;72
Aslan;72
Kumar;72
Venneri;71
Odin;71
Valeri;71
Sam;71
Terno;71
Atro;70
Jerker;70
Mustafa;70
Rene;70
Jormanpoika;69
Wihtori;69
Hasan;69
Eduardo;69
Manne;69
Mickael;69
Maxim;69
Hung;69
Frederik;69
Kallenpoika;68
Ulrik;68
Kaspar;68
Auno;68
Anto;68
Nils-Erik;67
Thanh;67
Uuras;67
Eskonpoika;67
Francisco;67
Lionel;67
Marcel;67
Samir;67
Penjami;67
Raul;67
Arhippa;66
Morgan;66
Sasu;66
Arijoutsi;66
Morris;66
Ville-Veikko;66
Kuutti;66
Benny;66
Turkka;66
Mahmoud;66
Markuksenpoika;65
Valerian;65
Eugén;65
Joa;65
Joukonpoika;65
José;65
Eduard;64
Gunnari;64
Petro;64
Jyrkinpoika;64
Bo-Erik;64
Pierre;64
Frederick;64
Jonni;64
Hans-Erik;64
Tuisku;64
Antonius;64
Vilperi;63
Ronny;63
Farah;63
Roopertti;63
Alexsander;63
Ano;63
Moritz;63
Elian;63
Aleksius;63
Conny;62
Frej;62
Allani;62
Carlo;62
Brian;62
Reza;62
Abdul;62
Caspian;62
Olivier;62
Haakon;62
Samppa;62
Erhard;62
Jetro;61
Stephan;61
Alpi;61
Alec;61
Eliot;61
Lorenz;61
Can;61
Isaac;61
Rikhart;61
Ryan;61
Hiski;61
Enrique;61
Peder;61
Stephen;60
Tyko;60
Carl-Erik;60
Jermu;60
Douglas;60
Kostia;60
Carolus;60
Antreas;60
Long;59
Constantin;59
Joacim;59
Milton;59
Marc;59
Ahto;59
Pertteli;59
Ingolf;58
Aale;58
Atle;58
Conrad;58
Caj;57
Armando;57
Miki;57
Iivar;57
Jeremi;57
Kaapriel;57
Ensiö;57
Glenn;57
Miihkali;56
Juan;56
Mahamud;56
Oma;56
Caius;56
Wiktor;56
Donald;56
Ray;56
Kustavi;56
Juri;55
Armo;55
Tuan;55
Jaska;55
Anh;55
Francesco;55
Oliwer;54
Aziz;54
Nyyrikki;54
Woldemar;54
Raphael;54
Sylvesteri;54
Wilmer;54
Scott;54
Fritjof;54
Andréas;54
Thure;54
Tominpoika;53
Tor-Erik;53
Toninpoika;53
Reijonpoika;53
Elja;53
Ale;53
Teemunpoika;53
Roman;53
Bastian;52
Jerome;52
Angel;52
Mikail;52
Feeliks;52
Vasili;52
Mahdi;52
Jamiel;52
Nino;52
Leino;51
Urban;51
Nathan;51
Jaani;51
Luke;51
Joe;51
Philippe;51
Denis;51
Antony;51
Clas;51
Heimer;51
Elmar;50
Kainpoika;50
Giovanni;50
Rinaldo;50
Muisto;50
Gotthard;50
Elijah;50
Trygve;50
Alexei;50
Ami;50
Jan-Peter;50
Ronnie;50
Odert;50
Janiel;49
Jafet;49
Sean;49
Kare;49
Rufus;49
Muhammad;49
Samueli;49
Askonpoika;49
Lawrence;49
Sipi;49
Pärttyli;49
Akinpoika;49
Lorentz;49
Damian;48
Nelson;48
Phong;48
Per-Olof;48
Nemo;48
Attila;48
Rahman;48
Seth;48
Manfred;48
Aukust;48
Aadam;48
Albertti;48
Henric;48
Jaako;48
Andrés;47
Bashir;47
Javier;47
Carl-Henrik;47
Dani;47
Kerkko;47
Nur;47
Jan-Henrik;47
Frithiof;47
Felipe;47
Sven-Olof;47
Rauni;47
