ETUNIMI;YHTEENSÄ
Tuula;32081
Ritva;31037
Anne;30760
Anna;30691
Päivi;30440
Leena;29831
Pirjo;29107
Sari;27962
Minna;27893
Marja;27823
Riitta;26331
Tiina;26078
Pirkko;25245
Tarja;25234
Laura;23651
Eeva;23456
Liisa;23144
Anja;23104
Seija;23093
Aino;23026
Raija;22618
Eila;22361
Sirpa;22002
Jaana;21655
Satu;21645
Hanna;21450
Heidi;21444
Sanna;21167
Eija;20716
Maria;20256
Merja;20035
Kirsi;19558
Johanna;19525
Arja;19391
Maija;19236
Sirkka;18489
Paula;18386
Ulla;18266
Jenni;16879
Elina;16213
Katja;15843
Raili;15656
Terttu;15595
Hilkka;15282
Heli;15187
Mari;15176
Anni;14935
Nina;14887
Kirsti;14684
Mirja;14315
Emma;13321
Helena;13127
Kaija;13043
Anu;12668
Tuija;12535
Niina;11752
Irma;11587
Kaisa;11526
Sara;11422
Aila;11293
Saara;11226
Suvi;11225
Pia;11149
Leila;11028
Tanja;10987
Emilia;10961
Katri;10788
Jenna;10709
Irja;10675
Lea;10612
Maarit;10518
Ella;10457
Kati;10451
Marjo;10403
Henna;10389
Noora;10013
Veera;9926
Kerttu;9887
Sofia;9776
Susanna;9759
Marja-Leena;9695
Riikka;9691
Sinikka;9544
Outi;9357
Julia;9333
Taina;9308
Mervi;9280
Iida;9268
Helmi;8925
Virpi;8881
Jonna;8839
Milla;8733
Marja-Liisa;8522
Emmi;8428
Miia;8378
Sonja;8177
Tiia;8080
Aune;7982
Venla;7814
Marika;7758
Sisko;7602
Terhi;7514
Elsa;7511
Elli;7483
Siiri;7461
Lotta;7363
Sini;7264
Sanni;7234
Maire;7225
Annika;7144
Teija;7083
Mira;7010
Ida;6905
Vilma;6827
Anita;6789
Mia;6702
Airi;6613
Oona;6475
Essi;6427
Piia;6249
Nea;6231
Linda;6202
Taru;6169
Anneli;6158
Anna-Liisa;6048
Marita;5878
Viivi;5833
Petra;5701
Aada;5685
Helvi;5644
Erja;5493
Aili;5469
Vuokko;5462
Elisa;5454
Roosa;5379
Salla;5364
Silja;5284
Pinja;5151
Marjatta;5120
Toini;5069
Iina;5004
Krista;4859
Martta;4847
Salme;4741
Ronja;4676
Riina;4668
Jenny;4666
Inka;4636
Marjut;4622
Marianne;4618
Milja;4510
Amanda;4502
Elvi;4493
Soile;4394
Eva;4352
Enni;4244
Jasmin;4233
Lilja;4233
Maija-Liisa;4182
Aira;4180
Eveliina;4165
Iiris;4048
Asta;4037
Kristiina;4018
Anniina;3984
Laila;3960
Meeri;3936
Hannele;3933
Katariina;3909
Reetta;3909
Sirkka-Liisa;3906
Saana;3901
Ilona;3887
Auli;3880
Olivia;3873
Rauni;3872
Taimi;3789
Saija;3753
Maiju;3646
Eira;3597
Ellen;3573
Nelli;3573
Kaisu;3509
Heini;3450
Armi;3421
Jessica;3376
Eevi;3358
Rauha;3357
Linnea;3350
Meri;3338
Minttu;3314
Alisa;3273
Tuuli;3267
Sylvi;3141
Pauliina;3122
Pihla;3120
Kaarina;3113
Erika;3107
Camilla;3091
Sirkku;2994
Nella;2972
Mirva;2941
Matilda;2913
Carita;2888
Oili;2882
Janina;2872
Maila;2871
Eeva-Liisa;2855
Neea;2818
Karoliina;2810
Lahja;2752
Soili;2742
Alli;2740
Alina;2729
Anna-Maija;2726
Senja;2688
Hilja;2673
Margit;2670
Jutta;2637
Vieno;2594
Irene;2577
Birgitta;2516
Olga;2449
Tyyne;2428
Tytti;2364
Tea;2335
Elena;2328
Ada;2303
Irina;2274
Netta;2263
Hilla;2260
Peppi;2258
Mirka;2256
Maritta;2256
Saimi;2253
Annikki;2244
Anne-Mari;2217
Ulla-Maija;2192
Helka;2189
Minea;2145
Aini;2138
Alma;2132
Kiia;2123
Mona;2109
Eine;2098
Virve;2072
Saila;2065
Marina;2052
Mila;2049
Iris;2048
Hilma;2040
Vappu;2020
Karin;2016
Saga;2013
Elma;2003
Nora;2000
Sandra;1995
Kristina;1991
Aija;1987
Janika;1972
Senni;1934
Susanne;1919
Jemina;1908
Tuire;1891
Fanny;1887
Taija;1859
Viola;1850
Janette;1848
Rosa;1831
Hilda;1828
Katriina;1819
Fanni;1800
Juulia;1797
Inga;1795
Rita;1794
Stella;1780
Mirjam;1780
Hanne;1771
Heta;1755
Wilma;1752
Janita;1735
Inkeri;1735
Birgit;1729
Lumi;1725
Salli;1720
Reija;1715
Riitta-Liisa;1707
Vilja;1702
Alexandra;1689
Monica;1688
Helli;1687
Helga;1681
Anette;1641
Marketta;1612
Lilli;1610
Vera;1603
Eini;1595
Jade;1581
Heljä;1567
Minja;1567
Irmeli;1558
Varpu;1555
Anna-Kaisa;1554
Moona;1545
Joanna;1538
Eerika;1538
Natalia;1531
Selma;1527
Hertta;1507
Aava;1481
Isla;1475
Maisa;1475
Laina;1466
Janna;1464
Tuulikki;1456
Titta;1444
Brita;1437
Kia;1435
Kerstin;1434
