ETUNIMI;YHTEENSÄ
Maria;179244
Anneli;119173
Helena;114022
Kaarina;98919
Johanna;93163
Marjatta;88244
Hannele;82909
Kristiina;70629
Annikki;59561
Tuulikki;59137
Emilia;53769
Liisa;48978
Elina;48317
Maarit;47285
Susanna;47008
Sofia;45744
Katariina;43594
Inkeri;41122
Kyllikki;38153
Sinikka;36015
Orvokki;33290
Tellervo;32509
Irmeli;28001
Karoliina;27237
Pauliina;26718
Elisabet;26384
Eveliina;21923
Irene;20840
Leena;20213
Katriina;19049
Marika;18791
Elisabeth;18531
Marketta;18343
Marjaana;18311
Tuulia;18300
Marita;18253
Marja;17814
Ilona;17268
Marianne;17037
Anna;16203
Anita;16143
Annika;16115
Mirjami;16104
Sisko;15853
Matilda;15824
Amanda;15423
Linnea;14653
Maaria;14482
Aurora;14375
Elisa;13543
Riitta;13536
Maija;13519
Aino;12958
Birgitta;12489
Olivia;12417
Aleksandra;11966
Julia;11631
Anniina;11069
Margareta;10708
Aulikki;10615
Hellevi;10477
Alexandra;10147
Kristina;9895
Päivikki;9675
Mirjam;9552
Mari;9222
Marjut;8977
Helinä;8515
Vilhelmiina;8495
Kaisa;8445
Helmi;8172
Maritta;8117
Esteri;7272
Iida;7144
Josefiina;6955
Ida;6734
Margit;6722
Hillevi;6701
Eliisa;6478
Alina;6434
Ellen;6218
Erika;6177
Marjukka;5887
Eeva;5786
Christina;5479
Onerva;5217
Marie;5164
Annukka;5149
Henriikka;5059
Sylvia;4817
Mikaela;4751
Terttu;4733
Anni;4711
Anna-Liisa;4695
Katri;4616
Alice;4579
Katarina;4498
Juulia;4474
Anne;4468
Ester;4368
Talvikki;4349
Aliisa;4303
Carita;4199
Viola;4060
Lyydia;4044
Heleena;3925
Tuula;3872
Susanne;3857
Riikka;3845
Isabella;3823
Elise;3746
Alisa;3667
Jasmin;3665
Anitta;3597
Päivi;3593
Maaret;3556
Satu;3548
Ingeborg;3496
Amalia;3478
Eerika;3371
Cecilia;3345
Lotta;3336
Laura;3255
Eliina;3191
Elviira;3125
Sanelma;3092
Kerttu;3078
Tuuli;3064
Wilhelmiina;2907
Charlotta;2905
Hanna;2898
Josefina;2819
Anja;2814
Martta;2766
Marianna;2752
Matleena;2749
Ritva;2733
Suvi;2653
Adele;2638
Elsa;2632
Sara;2613
Anelma;2596
Lilja;2547
Elli;2520
Camilla;2509
Eila;2507
Ella;2476
Heidi;2456
Ulla;2407
Iiris;2394
Aada;2359
Loviisa;2333
Linnéa;2330
Kirsti;2317
Marja-Liisa;2311
Helmiina;2293
Kirsi;2292
Emma;2284
Sirkka;2272
Lea;2262
Elena;2249
Unelma;2149
Marja-Leena;2141
Hilja;2092
Hilkka;2084
Margaretha;2078
Raakel;2064
Annele;2030
Saara;2017
Anette;2011
Regina;2001
Lahja;1966
Victoria;1955
Louise;1947
Roosa;1923
Aliina;1922
Astrid;1916
Mirja;1880
Minna;1860
Piritta;1851
Sini;1844
Irja;1834
Annina;1833
Marina;1802
Aune;1797
Aili;1779
Ulrika;1768
Pirkko;1768
Siiri;1736
Eva;1722
Karin;1717
Krista;1711
Sirpa;1702
Paula;1681
Inari;1680
Noora;1665
Lydia;1660
Irina;1653
Christine;1637
Siviä;1634
Hellin;1631
Teresa;1628
Kaija;1628
Tiina;1616
Ingrid;1606
Birgit;1582
Joanna;1565
Reetta;1564
Seija;1557
Sari;1550
Pirjo;1550
Heli;1528
Valpuri;1511
Vappu;1505
Jessica;1502
Karita;1499
Lumi;1490
Ada;1475
Eija;1457
Adalmiina;1456
Sanna;1449
Meri;1447
Carolina;1430
Jaana;1409
Karolina;1409
Linda;1409
Marleena;1373
Anastasia;1371
Rauha;1370
Henrietta;1368
Marjo;1365
Mariia;1361
Hilma;1354
Ingegerd;1353
Aila;1332
Jenny;1321
Wilhelmina;1312
Tarja;1311
Terhikki;1309
Viktoria;1290
Emmi;1289
Edith;1286
Gunilla;1284
Katja;1279
Isabel;1265
Monica;1254
Helvi;1249
Patricia;1248
Alma;1241
Miia;1234
Maire;1227
Pia;1226
Vuokko;1222
Kanerva;1221
Daniela;1221
Charlotte;1217
Raija;1211
Olga;1210
Jemina;1207
Hilda;1206
Helene;1203
Inka;1198
Maija-Liisa;1195
Janina;1195
Rebekka;1192
Rakel;1188
Rosa;1187
Merja;1178
Sofie;1171
Ursula;1164
Irma;1163
Jenni;1150
Arja;1149
Mariitta;1145
Iina;1142
Eleonoora;1132
Leila;1128
Minea;1119
Erica;1117
Milla;1079
Fredrika;1077
Iris;1053
Janika;1049
Eleonora;1046
Mia;1046
Natalia;1045
Magdalena;1040
Justiina;1025
Oona;1014
Mimosa;1011
Veera;1002
Monika;1001
Lempi;1000
Lovisa;999
Nina;999
Minttu;991
Milja;984
Beatrice;981
Tyyne;977
Riina;975
Elvira;974
Meeri;973
Henrika;973
Enni;971
